Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,AMC,AML,AMR,DC,DL,DM,DR,MC,ML,MR,ST,WBL,WBR,cluster
Alexis Blin,"DM,MC",27,125,131,France,Salento,5,6,10,5,13,6,11,8,5,12,14,8,14,13,13,12,15,12,14,13,13,14,7,12,12,15,15,14,12,13,14,11,15,12,16,14,12,12,10,7,10,3,1,3,3,2,3,1,2,2,3,1,184,78,8,20,3793,1996/9/16,5384.0,,,right,False,False,True,0,0,0,0,0,True,0,True,0,0,0,0,0,"['DM_1', 'MC_2']"
Irvin Cardona,AML,26,125,136,France,Stade Brestois 29,7,12,13,12,13,10,13,12,3,5,13,15,6,14,10,12,14,13,11,12,12,14,14,10,14,8,12,15,13,12,14,14,14,13,14,12,12,9,13,7,12,1,3,1,1,3,3,1,2,2,3,4,185,76,8,20,3905,1997/8/8,6898.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Kostas Fortounis,AMC,31,125,140,Greece,Olympiacos SF Piraeus,15,15,16,12,16,15,8,13,3,6,16,14,6,17,7,15,8,14,10,17,13,9,16,12,14,6,15,9,12,12,14,10,12,11,10,8,12,9,12,12,6,3,3,3,1,3,1,3,4,1,1,2,182,70,10,20,3006,1992/10/16,17740.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Diego Coppola,DC,20,125,155,Italy,Hellas Verona,5,5,10,5,11,4,14,5,11,13,11,6,15,11,15,13,14,12,14,7,12,13,4,8,5,13,11,14,13,12,12,14,11,13,14,15,13,10,13,6,12,2,3,3,3,2,3,1,1,1,2,3,192,0,10,20,1010,2003/12/28,17799.0,https://img.a.transfermarkt.technology/portrait/header/660860-1663671800.jpg?lm=1,https://www.youtube.com/watch?v=EuTF21MtRnQ,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Miguel Barbieri,DC,30,125,134,Argentina,Xoloitzcuintles de Tijuana,4,7,9,8,10,4,15,7,11,14,12,7,15,12,15,14,13,13,13,9,11,14,10,12,7,13,14,13,13,13,12,12,13,11,15,13,13,12,15,9,9,2,3,1,1,1,1,3,2,3,3,2,181,79,8,20,3250,1993/8/24,9681.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Pape Gueye,DM,24,125,145,"Senegal,France",Olympique de Marseille,11,8,11,6,13,10,10,14,3,12,14,9,14,13,12,13,11,7,8,12,12,13,13,12,13,14,15,14,14,11,14,10,14,14,14,14,11,11,10,12,9,2,1,3,3,2,1,2,2,1,1,2,183,65,20,10,4500,1999/1/24,27615.0,,,left,False,True,False,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_2']
Mert Yandaş,AMC,29,125,130,Turkey,Fenerbahçe A.Ş.,13,12,11,13,12,11,10,13,3,6,14,10,9,14,17,12,16,12,14,14,12,16,13,12,12,8,13,16,11,10,13,9,11,11,15,11,15,13,13,14,15,2,3,2,3,3,1,2,2,1,1,3,174,73,14,20,4998,1994/8/19,21269.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Christian Bernardi,MR,33,125,126,Argentina,Club Atlético Colón de Santa Fe,14,13,15,12,13,14,8,12,8,5,13,12,7,16,6,10,8,11,16,13,6,12,16,12,16,7,10,11,14,14,9,7,12,14,13,9,9,8,8,13,16,3,3,2,1,4,4,1,2,1,3,3,177,73,12,20,3774,1990/3/10,8077.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,True,0,0,0,['MR_0']
Amar Dedić,DL,21,125,145,"Bosnia and Herzegovina,Austria",Fussballclub RB Salzburg,6,9,11,8,13,7,10,9,8,13,12,8,13,11,9,12,12,12,11,10,12,17,5,5,12,13,12,13,14,13,12,10,13,16,12,13,10,6,6,9,9,2,2,1,4,3,1,3,2,3,3,2,180,74,11,20,3998,2002/8/18,2400.0,,,right,False,False,True,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Kieffer Moore,ST,31,125,132,"Wales,England",AFC Bournemouth,7,10,11,13,13,8,15,12,9,10,11,14,8,12,14,13,14,13,12,11,12,16,11,11,14,11,14,14,11,8,14,17,16,12,13,15,13,13,14,8,13,2,3,2,3,2,2,3,3,1,2,2,196,83,10,20,5147,1992/8/8,28998.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Dorukhan Toköz,DM,27,125,130,Turkey,Trabzonspor A.Ş.,8,8,11,9,12,8,12,12,5,13,12,6,14,12,17,12,17,11,14,10,12,16,9,8,12,14,17,18,12,12,14,10,13,12,14,13,13,12,12,8,17,2,3,2,3,1,2,2,1,3,3,3,180,73,8,20,5000,1996/5/21,44312.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Kostas Stafylidis,DL,30,125,132,Greece,VfL Bochum 1848,15,14,9,8,11,13,10,14,14,10,13,12,16,12,12,12,16,14,10,12,14,16,9,13,10,11,12,14,11,12,16,10,15,12,14,13,11,13,12,11,10,1,3,3,3,3,3,2,1,1,3,3,178,72,20,8,4750,1993/12/2,12499.0,,,left,False,True,False,0,0,0,0,True,0,0,0,0,0,0,0,0,['DL_0']
Marco Pérez,ST,33,125,139,Colombia,Águilas Doradas Rionegro S.A.,5,8,12,14,12,11,12,11,8,11,11,13,6,11,10,13,12,12,13,11,13,15,12,1,12,11,13,12,12,12,13,14,14,12,13,14,12,8,13,9,9,3,2,1,1,1,2,3,1,1,3,1,182,76,11,20,4018,1990/9/18,4349.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Bafétimbi Gomis,ST,38,125,150,"France,Senegal",Galatasaray A.Ş.,4,7,12,15,14,7,13,11,5,2,12,12,4,12,15,15,14,17,13,12,13,15,13,16,16,10,14,13,9,10,16,12,18,10,8,15,14,2,10,6,5,3,2,3,2,3,1,1,1,4,2,1,184,77,12,20,4800,1985/8/6,41667.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Abdülkadir Ömür,AMC,24,125,140,Turkey,Trabzonspor A.Ş.,12,12,14,12,14,11,7,13,2,7,15,11,6,17,12,13,15,13,13,12,12,16,17,10,17,7,14,14,14,16,9,8,13,14,11,9,12,5,14,12,15,2,3,1,2,1,3,1,2,2,2,1,168,65,20,5,4996,1999/6/25,15952.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Kian Hansen,DC,34,125,126,Denmark,Football Club Nordsjælland,7,11,9,5,12,8,10,7,17,15,13,6,15,12,16,15,15,14,14,12,13,13,6,12,8,14,16,14,9,9,13,13,13,10,11,13,12,9,14,14,15,1,3,1,2,1,3,3,1,2,3,3,184,73,11,20,4500,1989/3/3,6722.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Berat Özdemir,DM,25,125,130,Turkey,Al-Ettifaq Football Club,7,8,12,8,14,9,13,12,2,13,13,12,14,12,13,13,14,13,14,12,11,15,10,8,8,13,15,12,12,12,13,13,14,12,14,13,13,3,14,5,12,2,3,3,1,3,2,3,1,3,3,1,187,83,12,20,5000,1998/5/23,22222.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Juan Camilo Angulo,WBR,35,125,129,Colombia,Club Deportes Tolima S.A.,14,13,12,1,12,15,10,13,12,12,12,14,13,12,13,12,12,11,12,12,12,12,14,12,12,12,12,13,13,12,12,10,13,13,12,12,12,11,11,6,11,3,3,3,1,4,3,3,2,3,1,2,178,74,13,20,2968,1988/9/26,8623.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,True,['WBR_1']
Yunus Akgün,AMR,23,125,140,Turkey,Galatasaray A.Ş.,13,12,15,11,13,10,9,12,5,4,13,10,5,15,12,10,12,12,12,12,12,15,16,8,12,6,12,13,15,16,12,7,14,13,12,7,13,10,13,10,10,4,3,1,3,3,1,3,3,1,2,2,173,65,20,10,4995,2000/7/7,1381.0,,,left,False,True,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
Walter Bou,AMC,30,125,131,Argentina,Club Atlético Vélez Sarsfield,9,9,12,13,13,9,13,13,7,8,12,13,8,13,11,12,15,12,10,12,12,13,13,6,14,6,13,14,13,13,14,9,14,13,15,14,12,13,13,6,10,1,2,1,2,2,2,3,4,4,2,1,174,74,10,20,3512,1993/8/25,15760.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Manolis Siopis,DM,29,125,131,Greece,Trabzonspor A.Ş.,7,9,12,4,12,10,7,6,7,16,13,6,13,11,18,15,16,12,14,11,13,16,6,13,10,13,15,18,14,15,10,6,16,13,15,11,13,9,13,5,12,3,3,3,2,1,2,3,2,2,3,2,170,69,8,20,5000,1994/5/14,22435.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Pablo Torre,AMC,20,125,155,Spain,Barcelona,14,11,13,11,15,14,6,11,6,5,16,14,9,16,12,10,14,11,10,16,14,14,16,11,12,5,11,10,12,15,12,7,13,11,10,9,14,6,15,5,8,3,2,3,3,2,4,3,3,2,1,1,173,57,12,20,4251,2003/4/3,3989.0,https://img.a.transfermarkt.technology/portrait/header/720038-1646406941.jpg?lm=1,https://www.youtube.com/watch?v=YKfakj2uBMs,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Franco Vázquez,AMC,34,125,140,"Argentina,Italy",Parma Calcio 1913,12,13,17,13,14,13,12,14,8,8,14,13,12,17,10,16,12,15,12,16,13,14,18,9,13,8,14,13,8,9,15,13,14,10,12,13,14,7,15,5,15,1,3,2,2,1,1,1,1,3,1,3,187,81,20,9,5494,1989/2/22,16324.0,,,left,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_0']
Maya Yoshida,DC,35,125,142,Japan,FC Schalke 04,4,6,6,7,11,6,13,6,6,15,11,8,12,12,12,13,15,12,12,10,12,16,8,16,8,16,16,12,10,10,13,14,18,12,12,13,12,7,16,4,12,2,2,2,1,3,2,1,3,4,1,3,189,90,11,20,5748,1988/8/24,31644.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Martín Montoya,DR,32,125,153,Spain,Real Hispalis,8,13,12,8,12,6,11,9,11,12,12,8,13,14,13,14,13,12,11,11,11,12,10,11,12,12,15,14,13,12,11,9,11,12,16,12,12,10,13,12,10,1,1,3,3,1,2,4,2,1,3,1,175,73,8,20,5750,1991/4/14,55000.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Keita Endô,AML,26,125,135,Japan,1. FC Union Berlin,8,11,15,10,13,7,6,7,4,6,12,8,4,13,10,9,8,10,9,13,10,10,12,8,12,8,13,12,15,17,8,9,10,15,13,8,9,8,8,6,10,1,2,3,2,2,1,1,1,3,3,3,175,70,13,20,4515,1997/11/22,10000.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Fran Sol,ST,31,125,130,Spain,Dynamo Kyiv,7,7,9,14,12,14,14,12,6,5,12,16,3,12,8,13,14,14,12,12,14,15,11,12,13,4,13,15,11,14,14,13,15,11,14,14,13,8,12,8,10,3,3,4,3,3,3,1,2,1,3,2,182,80,12,20,4242,1992/3/13,8257.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Mauro Boselli,ST,38,125,142,"Argentina,Italy",Club Estudiantes de La Plata,6,10,10,14,13,5,15,10,6,7,11,15,7,12,12,15,14,16,15,13,14,15,11,12,15,11,14,15,10,10,15,12,11,11,10,11,12,12,14,12,4,4,2,3,3,2,3,3,3,4,2,3,181,80,13,20,4465,1985/5/22,12684.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Takahiro Kunimoto,"AML,AMR",26,125,135,Japan,Casa Pia Atlético Clube,14,14,14,11,15,13,5,12,5,8,15,8,6,15,11,13,13,14,13,15,14,11,14,9,13,10,12,10,13,13,16,5,13,12,12,8,9,12,11,9,14,3,2,3,1,3,3,3,1,1,3,3,174,76,20,10,5125,1997/10/8,2500.0,,,left,False,True,False,0,True,True,0,0,0,0,0,0,0,0,0,0,"['AML_1', 'AMR_1']"
Boli,ST,30,125,130,Ivory Coast,Ferencvárosi Torna Club,6,8,12,13,12,7,9,10,5,6,9,10,5,12,12,8,11,13,9,9,11,11,15,5,14,12,12,15,16,14,14,8,15,14,14,16,10,7,13,6,12,3,2,2,2,2,3,1,2,4,2,1,180,77,15,20,4758,1993/10/7,5224.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Caio Lucas,AML,29,125,132,Brazil,Sharjah Sports Club,12,11,15,12,13,12,6,12,4,5,13,12,6,15,11,10,11,13,8,13,9,11,15,8,12,6,8,12,15,15,8,6,14,15,12,6,11,8,10,5,11,2,3,2,2,3,2,3,2,1,3,2,174,75,14,20,3750,1994/4/19,29592.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Hayao Kawabe,"MC,AMC",28,125,132,Japan,Wolverhampton Wanderers,9,9,13,10,14,8,7,12,5,10,13,7,10,14,14,13,11,14,12,13,14,14,11,8,13,9,16,16,11,14,11,8,16,12,16,9,12,10,8,8,17,3,4,1,3,2,3,2,3,3,3,3,178,70,10,20,4999,1995/9/8,23198.0,,,right,False,False,True,True,0,0,0,0,0,0,True,0,0,0,0,0,"['AMC_1', 'MC_2']"
Ronaël Pierre-Gabriel,DR,25,125,135,France,1. FSV Mainz 05,6,11,13,6,11,6,7,6,15,13,12,7,15,12,15,12,16,12,12,11,12,15,11,8,12,13,13,15,14,12,15,8,13,14,14,15,12,13,12,10,15,2,1,1,2,1,1,2,1,3,3,1,177,80,7,20,4745,1998/6/13,21095.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Salih Uçan,MC,29,125,130,Turkey,Beşiktaş A.Ş.,13,10,12,10,14,13,7,12,3,6,15,14,11,15,10,14,12,14,13,14,13,13,14,7,13,11,13,12,12,13,10,8,14,12,14,12,12,12,10,8,12,3,1,2,3,1,2,2,2,1,3,3,182,65,10,20,5000,1994/1/6,6912.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Oier Sanjurjo,DM,37,125,141,"Spain,Pays Basque",AE Kition Larnakas,6,9,7,9,10,5,12,8,11,12,13,7,13,12,16,14,17,10,16,8,12,17,5,16,9,14,18,18,12,10,13,12,15,11,12,12,16,10,11,11,12,3,1,3,1,3,3,1,3,1,2,1,178,72,12,20,4352,1986/5/25,4599.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Alejandro Maciel,DC,26,125,130,Argentina,Club Atlético Talleres de Córdoba,5,7,7,5,11,6,14,10,10,14,11,8,14,11,13,14,16,13,14,8,11,12,8,8,7,14,13,13,11,12,14,13,12,12,13,14,14,11,11,10,7,2,3,2,1,1,4,3,1,2,1,3,182,82,11,20,3490,1997/4/22,1148.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Mathieu Cafaro,AML,26,125,135,France,R Standard de Liège,14,13,12,10,14,14,8,15,5,10,13,13,10,14,10,12,9,12,12,14,12,13,12,8,11,9,14,13,13,14,12,8,14,13,14,9,11,9,12,6,13,1,1,1,2,1,2,1,4,2,1,2,175,60,8,20,3892,1997/3/25,6499.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Fredrik Ulvestad,MC,31,125,135,Norway,Sivasspor,7,10,11,9,13,7,12,10,5,12,12,16,13,12,13,13,14,14,15,12,14,11,11,13,10,13,15,16,11,9,14,12,15,12,16,14,15,7,15,7,13,2,2,3,2,1,1,1,2,3,4,3,183,79,8,20,5950,1992/5/19,25000.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Yûya Kubo,MC,30,125,133,Japan,FC Cincinnati,7,11,12,11,13,12,9,11,3,5,12,10,11,13,15,10,12,9,8,12,9,11,15,9,13,7,12,14,13,14,10,8,13,11,12,8,11,5,8,10,15,2,4,2,2,1,1,3,2,1,3,2,178,73,14,20,4624,1993/12/24,23398.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Juanfran,DR,35,125,145,Spain,Málaga,12,14,11,9,11,11,5,11,14,9,12,8,8,13,7,14,14,11,13,13,13,12,14,14,13,12,15,10,13,12,13,9,12,14,13,10,12,8,12,5,17,3,1,1,1,1,3,1,3,2,1,2,179,73,11,20,4245,1988/9/11,14923.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Jonas Svensson,DR,30,125,137,Norway,Adana Demirspor A.Ş.,7,11,12,7,13,9,5,7,11,8,13,10,12,11,16,11,18,12,13,11,12,16,11,10,12,13,16,18,13,13,13,9,18,12,18,12,15,9,10,2,15,1,3,2,3,3,2,3,4,1,1,3,171,65,8,20,5000,1993/3/6,29999.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Ryôta Morioka,MC,32,125,128,Japan,Royal Charleroi Sporting Club,10,12,14,12,14,11,9,12,3,5,15,7,7,14,9,12,10,14,14,15,15,8,12,7,13,11,12,8,11,13,7,9,14,12,12,7,14,6,14,11,13,2,2,1,1,1,2,2,3,2,3,3,180,70,15,20,5500,1991/4/12,10000.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Halil Akbunar,AML,30,125,135,Turkey,KVC Westerlo,13,12,15,10,12,9,5,13,2,5,12,8,7,11,14,10,15,12,13,10,10,13,14,12,10,6,13,15,17,17,7,13,15,14,12,7,12,5,12,8,12,2,2,3,2,2,1,3,2,1,1,1,167,61,20,8,5000,1993/11/9,7499.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Gaku Shibasaki,MC,31,125,140,Japan,Leganés,13,13,14,9,14,14,8,10,7,6,15,12,6,14,7,12,7,14,12,14,12,12,13,8,13,10,13,13,12,11,9,6,14,13,13,8,10,5,13,9,14,1,1,1,4,2,1,3,3,2,3,4,175,62,15,20,5209,1992/5/28,9865.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Samu,MC,27,125,132,Portugal,Futebol Clube de Vizela,13,13,12,10,14,13,11,13,8,7,14,11,13,15,12,13,14,13,13,14,12,16,13,11,11,14,16,15,11,11,15,6,14,13,15,13,14,8,12,5,10,2,2,2,1,3,4,3,1,2,2,1,175,71,20,7,4999,1996/4/21,2249.0,,,left,False,True,False,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_1']
Kaan Ayhan,DC,29,125,134,"Turkey,Germany",U.S. Sassuolo,9,5,8,7,13,12,13,10,7,14,14,9,13,13,12,14,14,15,12,13,13,16,9,11,9,13,13,13,11,12,13,13,14,11,13,12,11,11,14,6,14,4,1,1,3,3,1,1,3,1,2,2,185,84,10,20,5300,1994/11/10,14808.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Josh Bowler,AMR,24,125,140,England,Nottingham Forest,12,11,16,12,13,11,5,10,3,6,11,11,6,14,10,11,11,13,10,13,10,16,15,8,13,6,8,12,16,15,13,9,13,15,11,8,10,4,10,6,7,4,2,1,2,3,3,3,3,1,3,3,175,0,20,8,3000,1999/3/5,34798.0,,,left,False,True,False,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_1']
Isaac Brizuela,AMR,33,125,139,"Mexico,United States",CD Guadalajara,8,11,14,7,12,8,6,10,6,8,13,10,8,13,10,14,13,12,13,13,11,5,13,6,14,10,14,13,16,15,13,6,14,14,14,8,12,6,13,12,12,2,2,2,2,1,1,3,3,2,3,1,168,58,8,20,2500,1990/8/28,19197.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,0,0,0,['AMR_0']
Eduard Atuesta,MC,26,125,135,"Colombia,United States",SEP,12,11,12,9,13,13,9,12,7,12,13,6,13,14,16,13,11,12,11,14,11,14,8,12,12,12,14,13,13,13,13,10,11,12,12,9,11,15,11,5,16,4,1,3,2,1,1,3,3,2,1,2,180,71,14,20,4244,1997/6/18,9823.0,,,right,False,False,True,0,0,0,0,0,0,0,True,0,0,0,0,0,['MC_0']
Ángel Sepúlveda,"AMR,ST",32,125,131,Mexico,Querétaro FC,8,6,10,13,12,5,13,10,8,5,10,11,5,12,8,12,13,13,15,12,13,9,11,9,11,8,13,13,14,14,13,11,14,12,13,11,11,8,11,6,13,1,2,1,3,3,1,1,2,4,1,1,180,77,12,20,2330,1991/2/15,11765.0,,,right,False,False,True,0,0,True,0,0,0,0,0,0,0,True,0,0,"['AMR_0', 'ST_0']"
Mijat Gaćinović,AMC,28,125,130,"Serbia,Bosnia and Herzegovina",AEK Athens,10,12,15,8,15,9,9,11,6,8,12,11,8,14,13,12,10,10,12,12,11,13,15,10,14,8,15,15,15,15,9,8,13,13,13,6,12,8,13,11,16,4,1,1,2,4,4,3,1,2,3,1,175,67,10,20,5000,1995/2/8,23653.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Stefan Ristovski,DR,31,125,125,North Macedonia,GNK Dinamo Zagreb,8,13,11,8,12,6,13,11,14,13,13,7,13,12,14,15,16,10,9,11,12,15,7,9,13,12,15,17,12,9,13,11,13,14,14,13,12,15,14,8,10,3,2,1,1,2,3,4,1,1,1,1,180,76,8,20,5019,1992/2/12,9588.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,0,['DR_0']
Benjamin Verbič,AML,30,125,135,Slovenia,Panathinaikos AO,12,10,14,13,14,14,12,14,9,5,13,10,6,15,12,10,13,14,10,13,11,12,14,7,13,7,11,13,13,11,13,9,12,13,12,11,12,12,13,12,12,4,3,3,3,3,3,3,1,2,4,1,179,70,12,20,4000,1993/11/27,20105.0,,,right,False,False,True,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_0']
Homer Martínez,DC,26,125,140,Colombia,Club Deportivo Popular Junior F.C. S.A.,8,9,12,8,12,10,13,11,4,14,12,11,13,12,12,14,13,12,13,11,12,11,9,12,11,12,13,13,12,12,12,13,12,12,12,13,12,9,12,9,12,1,1,1,1,1,3,3,2,3,3,4,185,70,10,20,2485,1997/10/6,7034.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Igor Lichnovsky,DC,29,125,137,"Chile,Austria",Tigres de la UANL,6,6,8,7,10,5,14,8,7,13,11,4,14,11,13,14,13,11,14,7,12,13,6,11,8,14,13,13,11,13,13,14,14,12,14,13,12,12,10,6,8,3,3,3,3,2,3,1,2,2,2,1,187,79,11,20,4015,1994/3/7,5836.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Andraž Šporar,ST,29,125,135,Slovenia,Panathinaikos AO,7,9,12,13,13,10,13,11,6,4,10,14,6,12,11,13,12,13,11,12,13,13,15,5,14,7,11,10,13,12,14,12,13,14,13,14,12,9,14,12,7,3,1,1,1,3,3,3,2,1,1,2,186,82,12,20,5000,1994/2/27,23653.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Raúl López,"DR,WBR",30,125,132,Mexico,Deportivo Toluca,11,16,13,8,12,15,10,12,12,10,12,10,10,14,10,12,7,11,13,12,12,12,11,9,12,13,10,14,14,13,8,13,11,14,12,10,13,7,13,6,11,3,3,3,3,2,3,1,2,3,1,2,185,72,12,20,3249,1993/2/23,10923.0,,,right,False,False,True,0,0,0,0,0,0,True,0,0,0,0,0,True,"['DR_1', 'WBR_0']"
Mbaye Diagne,ST,32,125,145,Senegal,Fatih Karagümrük A.Ş.,5,7,10,13,12,8,13,10,4,5,9,13,4,10,7,16,8,16,7,12,9,12,13,5,14,6,11,11,13,13,13,16,17,14,14,16,12,14,12,9,8,3,3,3,3,1,3,3,1,3,3,1,193,86,10,20,5000,1991/10/28,10024.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
Žan Majer,AMC,31,125,128,Slovenia,Reggina 1914,12,12,11,8,13,10,11,12,10,13,14,8,14,13,12,12,10,13,13,12,13,13,12,11,15,12,12,13,13,13,13,10,7,13,13,8,12,8,12,6,10,3,3,1,2,1,3,3,3,2,3,2,180,71,11,20,5000,1992/7/25,15139.0,,,right,False,False,True,True,0,0,0,0,0,0,0,0,0,0,0,0,['AMC_1']
Javier Salas,DM,30,125,134,Mexico,Fútbol Club Juárez,9,8,10,8,14,7,12,10,12,13,13,11,15,13,15,12,15,12,13,10,12,13,8,12,12,14,12,15,12,11,13,10,12,13,15,12,13,11,13,12,9,3,3,3,3,1,1,3,2,3,3,3,183,73,10,20,2212,1993/8/20,6932.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Akram Tawfik,DM,26,125,150,Egypt,Al-Ahly Sporting Club,2,11,10,7,10,4,12,10,9,11,11,10,13,11,15,11,17,11,11,10,12,14,8,5,7,12,17,18,12,7,11,13,16,14,17,13,14,12,12,3,13,2,2,3,1,3,2,1,1,3,2,1,177,0,12,20,4000,1997/11/8,1507.0,,,right,False,False,True,0,0,0,0,0,True,0,0,0,0,0,0,0,['DM_0']
Kevin Velasco,AML,26,125,130,Colombia,Asociación Deportivo Cali,12,13,14,9,10,11,8,12,13,10,8,6,11,14,11,11,11,10,11,11,11,11,12,10,13,11,12,12,14,12,11,8,13,14,14,12,14,6,3,12,14,1,1,1,2,2,3,4,4,2,3,2,172,69,20,12,3084,1997/4/30,8485.0,,,left,False,True,False,0,True,0,0,0,0,0,0,0,0,0,0,0,['AML_1']
Tommy St. Jago,DC,23,125,147,Holland,FC Utrecht,9,8,9,7,11,7,12,7,3,13,11,8,14,12,8,14,11,13,12,11,14,15,11,10,11,13,14,14,12,12,13,14,13,11,12,15,14,13,11,16,13,2,2,2,1,3,1,3,1,2,2,3,188,84,8,20,4750,2000/1/3,4130.0,,,right,False,False,True,0,0,0,True,0,0,0,0,0,0,0,0,0,['DC_0']
Jeison Medina,ST,28,125,135,Colombia,Asociación Deportivo Pasto,11,12,12,13,11,10,14,11,5,7,12,13,8,13,12,12,13,12,13,11,12,13,11,11,13,11,13,14,13,12,12,12,14,13,13,13,12,10,12,7,12,1,4,3,2,1,3,1,2,1,2,2,180,74,13,20,2750,1995/2/27,6091.0,,,right,False,False,True,0,0,0,0,0,0,0,0,0,0,True,0,0,['ST_0']
