Name,Position,Age,ca,pa,Nationality,Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off The Ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Stability,Foul,Contest performance,Injury,diversity,Aerial Reach(GK),Command Of Area(GK),Communication(GK),Eccentricity(GK),Handling(GK),Kicking(GK),One On Ones(GK),Reflexes(GK),Rushing Out(GK),Punching(GK),Throwing(GK),Height,Weight,Left Foot,Right Foot,World reputation,Date of birth,Salary,pics,video,preferred_foot,both,left,right,GK,cluster
Gabaski,GK,34,123,130,Egypt,National Bank of Egypt,3,1,3,3,9,7,11,2,3,3,9,3,3,6,9,11,11,11,13,10,13,15,4,5,6,13,10,10,10,13,14,18,13,10,13,13,12,4,7,12,14,16,14,13,13,12,9,13,16,11,16,12,196,83,4,20,4500,1989/2/28,3162.0,,,right,False,False,True,True,['GK_0']
Sascha Burchert,GK,34,123,123,Germany,FC St. Pauli,3,1,2,2,5,8,2,1,1,1,12,4,2,7,9,12,13,10,12,12,9,12,5,8,1,12,11,11,13,14,13,13,12,13,13,13,8,5,8,8,11,14,12,13,14,13,12,12,15,14,13,12,187,80,7,20,3750,1989/10/30,3000.0,,,right,False,False,True,True,['GK_0']
Marcos Ledesma,GK,27,123,126,Argentina,Club Social y Deportivo Defensa y Justicia,1,2,2,2,9,6,5,2,3,2,9,3,2,9,7,13,11,12,12,8,10,15,2,9,2,13,10,13,12,15,12,13,13,11,13,13,14,14,12,5,15,12,11,13,6,13,10,13,16,14,11,13,191,80,11,20,3351,1996/9/15,2160.0,,,right,False,False,True,True,['GK_0']
Andrew,GK,22,123,136,Brazil,Gil Vicente Futebol Clube,2,2,7,1,10,4,3,2,2,1,15,2,1,10,11,12,13,8,15,11,12,13,1,8,2,12,14,13,11,13,10,14,14,12,12,10,12,6,15,6,12,13,8,10,16,13,11,15,16,8,12,11,189,76,12,20,4238,2001/7/1,1849.0,,,right,False,False,True,True,['GK_0']
Mory Diaw,GK,30,123,130,"Senegal,France",Clermont Foot 63,4,3,2,3,9,6,1,10,3,3,11,1,2,8,9,12,14,13,7,12,10,9,11,10,1,12,10,12,11,11,16,16,14,10,12,15,12,6,10,7,14,14,11,12,12,13,18,13,16,14,12,12,198,98,8,20,3503,1993/6/22,8739.0,,,right,False,False,True,True,['GK_0']
Jeroen Zoet,GK,32,123,137,Holland,Spezia Calcio,1,2,3,2,8,4,3,3,3,1,11,5,3,11,7,13,11,13,12,14,11,18,4,13,3,14,14,17,9,12,12,14,15,10,15,12,13,7,15,5,12,13,13,14,6,13,12,14,15,13,10,13,189,89,5,20,5750,1991/1/6,24615.0,,,right,False,False,True,True,['GK_0']
Walter,GK,36,123,141,Brazil,CUI,3,1,3,1,11,7,2,3,3,3,11,2,1,11,13,13,12,13,13,13,13,12,2,14,1,14,12,13,11,12,12,13,11,10,11,13,14,5,15,11,12,12,11,12,11,14,14,13,14,12,13,12,186,82,10,20,3157,1987/11/18,4858.0,,,right,False,False,True,True,['GK_0']
Juan Espínola,GK,29,123,123,Paraguay,Club Deportivo Godoy Cruz Antonio Tomba,3,3,2,1,9,8,2,1,3,1,10,2,1,9,15,13,11,13,13,9,12,13,7,15,8,13,12,12,12,13,14,13,13,12,14,13,12,7,9,12,12,11,10,11,9,12,13,12,15,15,14,13,185,89,10,20,3463,1994/11/2,5303.0,,,right,False,False,True,True,['GK_0']
Lautaro Morales,GK,24,123,140,Argentina,Club Atlético Lanús,5,2,1,3,9,7,1,1,2,3,11,3,1,12,7,12,12,13,13,12,13,14,3,9,3,12,11,13,11,13,12,11,13,13,14,12,12,8,13,8,12,12,10,11,7,13,12,12,15,13,8,12,187,76,9,20,3212,1999/12/16,2473.0,,,right,False,False,True,True,['GK_0']
Thomas Didillon,GK,28,123,135,France,KSV Cercle Brugge,4,2,3,3,8,8,1,2,1,3,10,2,2,8,10,13,14,13,13,10,12,12,2,13,2,13,12,11,11,13,15,16,15,11,13,14,14,7,11,8,1,11,12,12,9,12,11,12,14,13,7,12,193,84,20,10,3939,1995/11/28,14999.0,,,left,False,True,False,True,['GK_1']
Jesse Joronen,GK,30,123,132,Finland,Venezia Football Club,3,2,2,1,5,5,5,1,1,3,6,4,1,5,13,11,14,9,11,6,11,14,1,8,1,14,10,5,10,14,11,17,9,9,13,13,12,9,12,10,13,16,15,13,7,12,13,15,15,13,7,15,197,89,20,6,6000,1993/3/21,17787.0,,,left,False,True,False,True,['GK_1']
Rafael Cabral,GK,33,123,145,"Brazil,Portugal",CEC,3,2,2,3,11,6,4,1,3,2,11,8,2,8,7,14,12,12,13,10,11,12,6,13,5,12,12,12,9,13,13,14,14,9,13,10,12,8,12,10,12,12,13,12,10,14,13,12,14,15,12,13,186,83,6,20,4081,1990/5/20,8513.0,,,right,False,False,True,True,['GK_0']
Jonas Lössl,GK,34,123,135,Denmark,Football Club Midtjylland,7,1,2,1,12,9,7,2,3,3,11,1,3,9,10,12,13,11,12,11,10,12,6,12,5,13,14,10,11,11,14,15,13,10,10,15,9,5,14,11,3,14,14,12,8,13,13,14,14,12,9,12,195,89,9,20,5150,1989/2/1,5377.0,,,right,False,False,True,True,['GK_0']
Sebastián Moyano,GK,33,123,124,Argentina,Club Atlético Unión de Santa Fe,4,1,1,1,8,7,6,3,2,2,7,2,1,8,12,13,13,9,12,8,13,12,6,10,3,15,10,13,13,12,11,14,13,10,8,13,14,7,13,8,12,13,10,10,8,15,12,13,15,6,15,11,188,79,10,20,3500,1990/8/26,8691.0,,,right,False,False,True,True,['GK_0']
John Ruddy,GK,37,123,145,England,Birmingham City,1,1,3,3,9,6,3,2,1,3,10,5,1,10,6,13,14,13,13,9,12,17,3,16,6,12,13,6,7,13,13,15,12,9,13,16,14,4,13,5,13,15,14,15,7,11,14,14,12,13,9,10,193,97,6,20,4750,1986/10/24,10439.0,,,right,False,False,True,True,['GK_0']
Luis Manuel García,GK,31,123,130,Mexico,Deportivo Toluca,4,6,7,3,12,3,2,1,13,8,13,4,3,10,13,13,15,12,10,12,12,12,11,11,1,12,9,11,10,12,12,11,10,11,12,12,12,8,12,14,12,12,13,11,10,12,14,14,14,10,14,13,183,83,10,20,2000,1992/12/21,8191.0,,,right,False,False,True,True,['GK_0']
Yanick Brecher,GK,30,123,126,Switzerland,FC Zürich,1,3,3,3,9,5,1,3,1,2,10,3,3,8,7,12,14,11,13,5,13,11,3,12,2,13,10,10,7,12,12,17,7,8,6,13,13,8,11,5,14,14,13,14,7,13,13,14,15,8,5,12,196,88,8,20,3596,1993/5/25,8270.0,,,right,False,False,True,True,['GK_0']
Alexandre Oukidja,GK,35,123,127,"Algeria,France",FC Metz,3,1,1,3,9,7,7,1,3,1,8,4,3,8,12,12,15,12,14,9,12,15,6,11,3,12,11,6,12,14,14,13,14,10,12,13,12,11,13,8,1,13,13,12,12,12,12,14,14,12,14,11,184,79,5,20,4002,1988/7/19,10381.0,,,right,False,False,True,True,['GK_0']
Pedro Ortiz,GK,33,123,124,Ecuador,Club Sport Emelec,4,3,1,3,6,9,5,2,2,2,6,1,2,6,11,11,10,7,10,7,14,14,7,13,6,10,11,9,11,12,14,16,14,10,11,16,15,8,11,12,15,16,13,14,6,16,12,11,14,8,9,10,187,70,8,20,3072,1990/2/19,5483.0,,,right,False,False,True,True,['GK_0']
Jannik Huth,GK,29,123,126,Germany,SC Paderborn 07,3,1,1,2,9,4,7,3,3,2,12,7,1,11,10,14,12,16,13,8,12,14,2,8,3,10,15,12,13,12,13,13,15,10,10,14,15,4,14,5,12,13,12,12,12,14,13,13,13,17,10,15,183,79,6,20,4253,1994/4/15,6310.0,,,right,False,False,True,True,['GK_0']
Raúl Gudiño,GK,27,123,134,Mexico,Atlanta United FC,3,3,2,3,6,7,3,3,1,3,5,1,1,6,6,13,15,12,8,6,9,13,5,8,3,14,12,16,12,14,14,16,13,13,12,13,7,7,6,5,9,16,13,13,12,9,14,11,15,14,10,14,196,82,5,20,4030,1996/4/22,4794.0,,,right,False,False,True,True,['GK_0']
Ofir Marciano,GK,34,123,130,"Israel,Portugal",Feyenoord Rotterdam,3,1,2,1,12,5,8,1,1,3,11,2,1,8,7,13,13,11,11,5,11,14,2,6,3,12,12,15,11,9,12,15,6,9,14,13,12,8,12,6,12,15,15,15,6,12,12,15,17,12,11,11,193,86,6,20,3994,1989/10/7,3999.0,,,right,False,False,True,True,['GK_0']
André Ferreira,GK,27,122,127,Portugal,Granada,3,2,3,1,10,8,7,3,3,2,11,1,2,10,11,11,13,10,13,11,11,12,3,7,2,13,14,13,12,14,10,15,13,11,12,11,10,10,12,12,10,15,8,12,13,14,13,12,16,9,10,12,193,79,7,20,4000,1996/5/29,1495.0,,,right,False,False,True,True,['GK_0']
Fernando Monetti,GK,34,122,134,Argentina,Club Atlético Lanús,3,1,3,2,11,2,4,2,1,1,9,2,1,11,16,14,17,9,9,12,8,11,12,13,3,14,12,14,12,13,15,13,12,13,13,14,8,10,13,14,1,10,11,9,16,14,14,14,15,14,11,15,184,85,9,20,3158,1989/2/21,6297.0,,,right,False,False,True,True,['GK_0']
Alexander Schlager,GK,27,122,133,Austria,Linzer Athletik-Sport-Klub,3,4,6,2,9,4,7,8,6,6,8,4,3,5,8,10,13,8,12,8,10,13,5,11,1,13,12,13,12,10,14,13,12,10,13,13,14,7,11,4,1,15,15,13,8,15,12,14,15,12,10,13,184,77,7,20,5157,1996/2/1,6380.0,,,right,False,False,True,True,['GK_0']
Anton Shunin,GK,36,122,133,Russia,Dinamo Moscow,1,2,5,3,5,3,5,6,1,6,7,3,4,8,6,14,10,12,14,15,10,13,2,11,2,15,12,11,12,14,13,15,14,10,12,15,14,5,9,7,1,14,10,10,13,15,9,13,16,12,13,15,194,87,20,4,4250,1987/1/27,15331.0,,,left,False,True,False,True,['GK_1']
Gerardo Ortíz,GK,34,122,125,Paraguay,Once Caldas S.A.,5,2,2,1,11,8,10,3,1,1,9,3,2,8,14,12,14,12,12,7,13,11,14,10,12,10,10,12,11,14,10,13,10,11,13,12,12,7,11,12,15,12,12,11,12,14,10,11,16,11,13,12,185,78,8,20,4250,1989/3/15,7407.0,,,right,False,False,True,True,['GK_0']
Dani Jiménez,GK,33,122,127,Spain,Leganés,2,3,3,3,5,6,3,1,2,3,14,5,2,7,12,15,13,12,13,11,12,7,1,7,1,12,12,11,11,13,11,13,12,10,7,12,12,6,17,5,12,13,13,12,8,12,10,13,15,12,7,11,179,72,6,20,3200,1990/3/5,5565.0,,,right,False,False,True,True,['GK_0']
Washington Aguerre,GK,30,122,126,Uruguay,Querétaro FC,3,1,3,3,9,6,2,1,2,3,14,2,2,5,15,16,13,12,11,11,9,10,1,5,2,16,11,11,10,13,13,14,15,12,11,13,13,14,11,8,12,11,12,12,13,12,12,13,14,13,14,13,188,93,12,20,3342,1993/4/23,611.0,,,right,False,False,True,True,['GK_0']
Ricardo Jerez,GK,37,122,125,Guatemala,CSD Municipal,4,1,2,3,7,7,3,1,2,1,7,5,3,9,12,11,11,12,12,11,11,11,1,18,1,12,13,13,13,13,13,14,12,13,13,13,12,12,5,5,13,13,12,12,6,13,11,12,14,13,9,13,193,82,20,8,3745,1986/2/4,849.0,,,left,False,True,False,True,['GK_1']
Marcel Schuhen,GK,30,122,126,Germany,SV Darmstadt 98,2,1,2,2,8,1,5,3,1,1,8,3,1,8,16,12,14,11,12,8,12,18,6,16,6,15,12,11,10,13,12,16,13,11,11,11,17,12,14,6,1,12,12,14,8,13,11,14,15,12,12,10,188,85,7,20,4133,1993/1/13,13425.0,,,right,False,False,True,True,['GK_0']
Miquel Parera,GK,27,122,128,Spain,R. Santander,2,3,2,3,10,7,3,2,3,1,10,1,1,11,8,12,18,10,13,9,10,12,3,6,1,12,12,11,13,13,12,13,16,13,10,11,12,10,2,9,14,10,10,11,6,12,12,15,14,10,9,13,180,76,6,20,4100,1996/5/18,5116.0,,,right,False,False,True,True,['GK_0']
Rune Jarstein,GK,39,122,137,Norway,Hertha Berlin,5,3,1,2,9,9,4,3,2,1,9,2,1,10,10,13,10,13,12,8,11,12,2,10,1,9,14,10,11,12,14,14,12,9,11,13,11,5,11,12,13,15,16,12,8,14,11,13,15,16,13,13,190,86,7,20,6250,1984/9/29,14796.0,,,right,False,False,True,True,['GK_0']
Antonio Sivera,GK,27,122,146,Spain,Alavés,4,3,1,3,5,6,1,1,2,2,12,3,3,6,9,12,15,10,10,9,14,10,1,11,3,12,10,9,14,12,10,13,15,14,8,9,14,13,11,14,12,12,8,11,5,14,14,9,14,5,8,9,185,75,12,20,4300,1996/8/11,4411.0,,,right,False,False,True,True,['GK_0']
Eloy Room,GK,34,122,132,"Curaçao,Holland",Columbus Crew,4,1,9,2,10,7,3,2,7,5,11,1,8,10,8,12,13,15,13,7,13,8,3,11,3,13,11,14,11,12,12,14,12,12,11,12,12,7,3,8,11,12,12,12,8,14,13,14,14,11,12,12,191,82,6,20,5178,1989/6/2,17120.0,,,right,False,False,True,True,['GK_0']
Antonio Mirante,GK,40,122,143,Italy,AC Milan,1,1,3,1,8,1,8,1,7,2,9,6,4,7,8,12,13,16,13,4,13,19,9,10,1,13,13,14,7,11,12,16,16,10,10,12,12,8,11,9,1,14,13,13,8,14,13,13,15,13,12,13,193,79,7,20,5100,1983/7/8,25000.0,,,right,False,False,True,True,['GK_0']
Ilja Lantratov,GK,28,122,126,Russia,FC Khimki,3,1,1,3,7,7,2,3,3,3,12,5,2,8,10,12,15,13,13,10,11,14,3,9,3,16,9,9,8,12,13,15,13,10,9,14,15,14,13,4,11,13,12,12,6,12,13,9,16,12,10,12,194,82,6,20,3500,1995/11/11,23590.0,,,right,False,False,True,True,['GK_0']
Ian Mackay,GK,37,122,129,"Spain,Scotland",Coruña,5,1,1,3,4,7,1,3,3,2,12,5,1,2,9,11,14,11,12,10,14,4,2,13,2,14,11,10,10,12,10,7,10,10,10,9,14,6,8,11,12,13,12,11,7,15,14,13,15,10,5,12,182,80,5,20,3904,1986/7/14,4085.0,,,right,False,False,True,True,['GK_0']
Lee Nicholls,GK,31,122,130,England,Huddersfield Town,2,2,1,1,10,6,2,2,2,2,10,4,1,10,10,10,11,11,11,7,12,10,10,11,9,13,12,10,9,12,12,15,15,8,14,12,15,6,11,2,12,15,15,16,12,16,11,14,14,8,9,12,196,85,5,20,3492,1992/10/5,13919.0,,,right,False,False,True,True,['GK_0']
Julio González,GK,32,122,132,Mexico,Pumas de la UNAM,5,1,3,3,5,7,3,3,1,9,9,5,3,10,10,12,14,12,11,11,12,4,2,12,2,12,12,12,14,12,12,12,13,15,7,12,11,13,10,8,15,13,12,11,10,12,11,12,14,9,11,11,182,83,20,8,2530,1991/4/23,11030.0,,,left,False,True,False,True,['GK_1']
Seny Dieng,GK,29,122,135,"Senegal,Switzerland",Queens Park Rangers,6,3,1,3,11,10,2,1,1,3,11,5,1,9,12,13,11,13,11,10,11,15,2,12,2,11,12,11,10,13,12,13,18,10,11,12,13,8,15,8,13,13,16,11,12,13,14,13,14,14,13,12,193,90,9,20,4000,1994/11/23,5800.0,,,right,False,False,True,True,['GK_0']
Renan Ribeiro,GK,33,122,134,Brazil,,4,1,3,2,8,7,8,2,3,2,10,3,1,11,12,13,13,11,11,10,11,8,12,10,12,13,13,13,12,14,13,16,12,12,13,14,12,13,13,8,13,15,8,13,7,11,12,15,16,12,9,10,193,87,5,20,4600,1990/3/23,0.0,,,right,False,False,True,True,['GK_0']
Benji Siegrist,GK,31,122,130,Switzerland,Celtic,4,3,1,1,6,9,5,2,3,2,8,3,2,11,8,10,12,10,11,9,11,14,4,15,3,14,13,12,9,11,15,17,12,9,11,12,12,8,9,9,12,17,14,12,7,15,11,15,14,12,15,13,194,85,6,20,5500,1992/1/31,13919.0,,,right,False,False,True,True,['GK_0']
Davy Roef,GK,29,122,122,Belgium,KAA Gent,6,3,3,3,13,8,13,2,2,3,13,5,1,12,10,14,11,14,12,11,16,14,1,4,3,13,11,15,13,14,10,14,16,12,14,10,14,7,9,13,12,13,12,5,5,13,12,13,14,12,8,12,187,84,5,20,5000,1994/2/6,9500.0,,,right,False,False,True,True,['GK_0']
Arnaud Bodart,GK,25,122,137,Belgium,R Standard de Liège,4,2,1,2,9,6,3,1,2,1,9,2,3,11,9,12,14,11,14,12,12,12,12,9,1,11,12,11,13,11,9,12,11,12,11,11,12,10,10,9,10,12,12,12,5,12,11,12,16,11,6,11,186,80,7,20,3500,1998/3/11,7499.0,,,right,False,False,True,True,['GK_0']
Mile Svilar,GK,24,122,146,"Serbia,Belgium",Associazione Sportiva Roma,1,3,2,1,12,1,9,2,2,2,12,1,3,12,14,11,15,13,10,9,12,15,8,5,5,10,10,8,14,13,11,15,12,13,11,13,12,5,11,5,1,13,11,8,12,14,14,13,16,16,6,11,189,83,5,20,3941,1999/8/27,24615.0,,,right,False,False,True,True,['GK_0']
Gabriel Chapecó,GK,23,122,136,Brazil,GRE,6,3,3,2,8,8,7,3,3,1,9,2,3,9,12,13,15,10,12,9,11,14,3,10,3,13,13,9,11,14,10,17,14,11,7,13,14,6,14,12,14,15,11,11,5,13,11,13,14,11,15,11,192,86,8,20,2250,2000/3/29,7856.0,,,right,False,False,True,True,['GK_0']
Vladan Kovačević,GK,25,122,146,"Bosnia and Herzegovina,Serbia",Raków Częstochowa,4,1,3,2,6,7,6,3,3,3,9,2,3,6,16,14,15,14,13,7,11,17,2,13,3,11,14,12,12,14,11,16,14,10,8,9,16,8,8,8,12,15,12,10,5,12,12,14,16,12,12,9,192,81,5,20,2981,1998/4/11,3169.0,,,right,False,False,True,True,['GK_0']
Jandrei,GK,30,122,129,"Brazil,Italy",SPO,5,3,1,1,11,8,1,2,1,3,11,2,2,11,8,12,13,10,10,13,10,11,13,7,1,13,13,12,12,13,12,13,15,12,14,11,10,9,13,9,14,12,12,11,8,13,13,13,13,14,14,14,186,74,20,6,3270,1993/3/1,12657.0,,,left,False,True,False,True,['GK_1']
Finn Dahmen,GK,25,122,135,"Germany,England",1. FSV Mainz 05,1,3,1,1,11,4,6,2,2,1,12,4,1,11,11,12,12,12,12,11,12,13,7,7,1,14,11,10,10,15,14,15,16,11,11,12,13,6,16,3,10,12,12,12,8,13,12,14,14,12,8,11,186,80,7,20,4112,1998/3/27,7671.0,,,right,False,False,True,True,['GK_0']
Timon Wellenreuther,GK,28,122,126,Germany,RSC Anderlecht,3,1,3,2,10,5,7,2,9,1,10,10,2,10,8,12,14,14,11,9,11,15,6,10,10,11,13,13,14,11,14,14,15,12,13,12,13,6,14,3,11,12,12,13,10,13,13,14,14,16,13,15,186,80,5,20,5000,1995/12/3,6999.0,,,right,False,False,True,True,['GK_0']
Nico Mantl,GK,23,122,147,Germany,Fussballclub RB Salzburg,3,4,5,4,8,4,7,9,13,7,12,6,9,8,8,11,15,10,9,11,9,14,7,8,5,17,13,13,10,12,14,16,14,12,15,14,10,6,14,5,1,16,13,12,7,12,11,13,13,13,11,13,193,88,11,20,4040,2000/2/6,4524.0,,,right,False,False,True,True,['GK_0']
Dušan Kuciak,GK,38,121,123,Slovakia,Lechia Gdańsk,1,1,1,2,9,2,7,1,3,3,7,1,3,7,8,13,14,12,13,4,11,16,6,11,5,13,13,14,8,11,14,16,13,8,6,13,15,6,12,3,11,14,14,14,9,15,8,14,16,14,10,13,194,87,7,20,3517,1985/5/21,4796.0,,,right,False,False,True,True,['GK_0']
Eder Chaux,GK,32,121,129,Colombia,Patriotas Boyacá Fútbol Club S.A.,4,1,3,2,13,7,7,2,2,3,13,3,3,12,10,12,12,12,13,12,12,11,8,11,10,12,11,12,11,14,11,14,13,11,12,13,12,8,4,8,12,13,12,11,5,12,11,14,12,10,10,12,186,80,9,20,2900,1991/12/20,6660.0,,,right,False,False,True,True,['GK_0']
Lucas Acosta,GK,28,121,122,Argentina,Club Atlético Lanús,4,2,3,1,11,7,3,3,3,1,10,3,2,9,10,12,12,11,9,7,12,14,4,15,3,13,14,14,12,14,12,15,14,12,12,12,10,7,12,6,13,11,11,12,16,12,11,13,16,13,14,11,187,84,8,20,3000,1995/3/12,8288.0,,,right,False,False,True,True,['GK_0']
Jorge Broun,GK,37,121,130,Argentina,Club Atlético Rosario Central,6,2,6,3,8,9,8,1,3,3,5,6,3,4,11,12,15,13,13,9,13,13,7,14,5,13,12,12,9,9,14,15,13,10,11,17,12,5,12,7,11,13,13,13,12,15,11,13,13,11,8,13,190,90,6,20,3436,1986/5/26,5328.0,,,right,False,False,True,True,['GK_0']
Peter Vindahl,GK,25,121,133,Denmark,AZ Alkmaar,4,1,3,2,10,6,3,2,2,1,12,3,1,11,9,15,8,13,13,11,12,14,3,5,3,13,13,13,9,13,11,16,14,8,12,11,11,6,12,6,14,13,12,11,9,15,16,15,14,10,10,13,193,87,5,20,3505,1998/2/16,4315.0,,,right,False,False,True,True,['GK_0']
Vladimir,GK,34,121,129,Brazil,AVA,3,1,3,2,8,6,10,2,1,2,9,3,1,10,6,11,13,10,13,8,13,14,4,11,5,14,11,8,12,13,14,16,12,11,13,14,12,5,11,5,12,13,11,11,12,14,10,12,15,13,14,10,190,91,20,4,2930,1989/7/16,5760.0,,,left,False,True,False,True,['GK_1']
Johan Padilla,GK,31,121,122,Ecuador,Club Social y Deportivo Macará,3,3,1,3,7,8,4,3,1,2,7,1,2,5,13,8,10,7,11,6,11,13,8,13,9,15,9,10,16,15,13,14,16,15,16,13,14,8,16,7,12,12,11,10,8,12,10,14,16,9,12,11,186,86,20,8,3100,1992/8/14,4781.0,,,left,False,True,False,True,['GK_1']
Alexis Martín Arias,GK,31,121,135,Argentina,O'Higgins,4,3,2,2,11,8,2,3,3,1,11,2,3,10,8,12,13,12,12,11,11,11,8,11,3,16,11,13,12,14,14,14,14,12,12,12,14,12,13,5,13,12,10,12,12,13,9,14,14,9,8,11,185,0,5,20,3134,1992/7/4,6072.0,,,right,False,False,True,True,['GK_0']
Kjell Scherpen,GK,23,121,130,Holland,Brighton & Hove Albion,4,3,3,2,10,5,1,3,3,1,12,4,3,4,7,15,11,11,11,10,11,14,1,9,1,11,11,10,15,12,11,20,13,12,6,11,12,5,7,10,15,18,13,8,5,12,13,13,12,7,10,9,204,85,14,20,3747,2000/1/23,23198.0,,,right,False,False,True,True,['GK_0']
Marius Gersbeck,GK,28,121,122,Germany,Karlsruher SC,4,1,2,1,9,8,8,3,1,1,11,2,2,9,10,11,14,13,12,10,11,13,2,12,2,12,13,12,12,12,14,13,12,10,10,12,14,5,16,13,13,15,12,12,9,11,12,15,14,15,9,13,187,83,20,6,3663,1995/6/20,6041.0,,,left,False,True,False,True,['GK_1']
Juan Camilo Chaverra,GK,31,121,125,Colombia,Club Atlético Bucaramanga S.A.,7,1,1,2,10,8,3,3,3,3,11,1,2,6,8,13,9,11,13,11,13,13,10,13,10,13,11,13,12,13,10,13,13,12,13,12,16,7,12,13,14,11,13,11,5,12,11,13,14,9,12,12,185,75,8,20,2750,1992/12/12,6584.0,,,right,False,False,True,True,['GK_0']
Stefano Turati,GK,22,121,159,Italy,U.S. Sassuolo,1,2,1,1,7,3,6,1,6,3,6,3,1,8,10,11,10,11,13,8,12,15,4,13,8,15,13,14,12,12,11,13,12,13,12,12,13,4,14,5,7,12,14,12,8,14,8,16,15,11,10,13,188,85,7,20,3158,2001/9/5,5337.0,,,right,False,False,True,True,['GK_0']
Milan Heča,GK,32,121,125,Czech Republic,Sparta Prague,1,1,2,1,5,5,2,3,8,7,8,5,7,8,5,12,13,11,13,2,13,13,14,8,3,11,13,3,12,10,15,15,13,8,12,16,13,6,9,5,2,13,12,9,12,16,9,14,16,5,15,14,187,83,6,20,3000,1991/3/21,507.0,,,right,False,False,True,True,['GK_0']
Nediljko Labrović,GK,24,121,143,Croatia,HNK Rijeka,6,3,1,1,5,7,6,3,2,1,7,3,3,5,12,13,13,9,12,5,9,12,1,12,2,14,12,9,12,14,14,16,7,12,12,14,12,12,8,6,16,14,14,11,8,12,10,14,17,7,18,10,196,91,5,20,4400,1999/10/10,1293.0,,,right,False,False,True,True,['GK_0']
Augusto Batalla,GK,27,121,124,Argentina,Club Atlético River Plate,6,2,2,3,11,9,2,1,3,1,9,1,2,9,11,11,16,9,9,10,10,14,8,13,2,11,15,14,10,12,15,13,12,11,13,14,10,11,6,9,11,11,10,12,6,15,13,14,15,8,12,14,185,79,8,20,3300,1996/4/30,7548.0,,,right,False,False,True,True,['GK_0']
Elia Caprile,GK,22,121,157,Italy,Bari,4,1,3,1,6,6,6,3,1,1,10,3,3,6,12,12,11,11,12,11,11,14,7,8,4,15,12,12,10,12,10,13,14,11,15,10,13,4,15,3,12,13,14,13,10,15,13,14,14,14,12,12,191,74,8,20,3252,2001/8/25,1000.0,,,right,False,False,True,True,['GK_0']
Harlen Castillo,GK,29,121,130,Colombia,Corporación Social Deportiva y Cultural de Pereira,3,2,1,1,10,5,8,3,2,2,10,3,2,11,10,13,12,11,12,10,12,13,3,14,8,12,13,12,13,13,12,13,13,11,12,12,15,6,12,8,15,13,13,13,5,11,13,11,13,10,12,12,184,80,8,20,2750,1994/8/17,5341.0,,,right,False,False,True,True,['GK_0']
Yoel,GK,35,121,138,Spain,Eibar,4,3,1,1,8,6,9,1,3,3,7,1,3,6,5,13,13,7,12,8,15,13,1,11,2,11,12,12,9,11,10,11,10,10,10,10,11,10,7,10,13,13,12,12,5,13,12,14,13,11,12,13,186,78,7,20,4950,1988/8/28,17248.0,,,right,False,False,True,True,['GK_0']
Dmytro Riznyk,GK,24,121,140,Ukraine,Vorskla Poltava,3,1,1,3,11,7,3,2,2,2,14,1,3,13,7,14,10,14,14,11,13,11,1,12,3,16,12,9,14,14,12,17,8,14,4,8,16,7,8,10,10,12,11,11,10,12,9,11,15,8,9,7,191,85,7,20,3483,1999/1/30,4538.0,,,right,False,False,True,True,['GK_0']
Alexandr Selikhov,GK,29,121,130,Russia,Spartak Moscow,5,3,1,2,11,10,10,3,3,2,10,5,2,6,9,16,12,12,13,8,11,18,2,11,1,11,14,11,7,13,13,15,10,9,11,12,14,12,14,16,11,12,12,12,9,15,13,13,15,9,8,13,190,80,7,20,3969,1994/4/7,28657.0,,,right,False,False,True,True,['GK_0']
Fernando de Paul,GK,32,121,132,"Chile,Argentina",Everton de Viña del Mar,5,1,1,3,4,7,2,1,3,1,9,5,3,8,9,12,14,14,12,11,12,13,2,14,3,14,12,11,8,11,12,11,13,9,11,13,12,13,4,5,13,13,13,12,7,14,13,14,13,12,11,12,183,83,6,20,3347,1991/4/25,5534.0,,,right,False,False,True,True,['GK_0']
Leandro Chichizola,GK,33,121,135,"Argentina,Italy",Parma Calcio 1913,6,3,2,1,10,9,4,2,1,3,9,3,3,8,7,12,13,11,12,9,10,13,5,9,3,12,10,11,10,13,11,11,14,10,13,11,12,3,15,8,12,13,14,14,5,15,12,13,16,7,8,12,183,80,6,20,4744,1990/3/27,11452.0,,,right,False,False,True,True,['GK_0']
Luis Mejía,GK,32,121,125,Panama,Unión Española,3,3,3,2,9,8,1,12,2,1,9,3,2,9,7,12,13,12,12,11,10,14,7,8,3,10,12,8,15,15,15,15,14,14,13,14,14,7,13,7,1,13,12,9,10,9,13,15,15,13,12,10,190,80,20,9,5150,1991/3/16,6018.0,,,left,False,True,False,True,['GK_1']
